Code,Name,Name2,FieldCount,IsDoor,IsStulp,PostType,OpeningPerField
F271,"Balkon 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P
F271E,"Balkon 2 kw. słupek ruchomy","",2,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SC-Pz | F2: R-SBP-Lz
F272,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-L | F2: UR-P
F273,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: R-P
F274,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: UR-L | F2: UR-P
F280,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: UR-L | F2: FIX
F281,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: FIX | F2: UR-P
F282,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: R-L | F2: FIX
F282E,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: R-Pz | F2: FIX-Sz
F283,"Balkon 2 kw. słupek stały naświetle boczne","",2,No,No,Vertical Mullion,F1: FIX | F2: R-P
F283E,"Balkon 2 kw. słupek stały","",2,No,No,Vertical Mullion,F1: FIX-Sz | F2: R-Lz
F284,"Balkon 3 kw. słupek stały naświetle boczne","",3,No,No,Vertical Mullion + Transom,F1: FIX | F2: UR-P | F3: FIX
F285,"Balkon 3 kw. słupek stały naświetle boczne","",3,No,No,Vertical Mullion + Transom,F1: UR-L | F2: FIX | F3: FIX
F300,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-P | F3: UR-P
F300E,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: R-Pz | F2: R-Lz | F3: R-Lz
F300P,"Okno 3 kwaterowe","",3,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-R-Lz | F3: PR-R-Lz
F301,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-L | F3: UR-P
F301E,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: R-Pz | F2: R-Pz | F3: R-Lz
F301P,"Okno 3 kwaterowe","",3,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-R-Pz | F3: PR-R-Lz
F302,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P | F3: UR-P
F302E,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-SC-Pz | F2: R-SBP-Lz | F3: R-Lz
F302P,"Okno 3 kwaterowe","",3,No,No,Vertical Mullion,F1: PR-R-Pz | F2: PR-FIX-Sz | F3: PR-R-Lz
